	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
21	YES	ion	FALSE		stagnate	stagnation	state	eng-30-02417504-v	be idle; exist in a changeless situation	eng-30-14012667-n	a state of inactivity (in business or art etc)	MS
22	YES	ment	FALSE		equip	equipment	uses	eng-30-02339413-v	provide with (something) usually for a specific purpose	eng-30-03294048-n	an instrumentality needed for an undertaking or to perform a service	MS
23	YES		TRUE	ZeroN	survey	survey	event	eng-30-00646542-v	consider in a comprehensive way	eng-30-06469694-n	short descriptive summary (of events)	MS
24	YES	ion	FALSE		delineate	delineation	result	eng-30-01582645-v	make a mark or lines on a surface	eng-30-03173524-n	a drawing of the outlines of forms or objects	MS
25	YES		TRUE		trill	trill	event	eng-30-01050896-v	sing or play with trills, alternating with the half note above or below	eng-30-06860177-n	a note that alternates rapidly with another note a semitone above it	MS
26	YES	or	FALSE		alleviate	alleviator	instrument	eng-30-00064095-v	provide physical relief, as from pain	eng-30-03879854-n	remedy that alleviates pain without curing	MS
27	YES		TRUE		conduct	conduct	property	eng-30-02518161-v	behave in a certain manner	eng-30-04897762-n	(behavioral attributes) the way a person behaves toward other people	MS
28	YES		TRUE	ZeroV	fool	fool	agent	eng-30-00854904-v	fool or hoax	eng-30-10100761-n	a person who lacks good judgment	MS
29	YES		TRUE		report	report	event	eng-30-00965035-v	to give an account or representation of in words	eng-30-06681551-n	a short account of the news	MS
30	YES	ion	FALSE		solmizate	solmization	event	eng-30-01731353-v	sing by the syllables of solmization	eng-30-01255935-n	singing using solfa syllables to denote the notes of the scale of C major	MS
31	YES	er	FALSE		guess	guesser	agent	eng-30-00672433-v	judge tentatively or form an estimate of (quantities or time)	eng-30-10150794-n	a person who guesses	MS
32	YES	ation	FALSE		transform	transformation	by-means-of	eng-30-00544011-v	subject to a mathematical transformation	eng-30-13785136-n	(mathematics) a function that changes the position or direction of the axes of a coordinate system	MS
33	YES		TRUE	ZeroN	recount	recount	event	eng-30-00801355-v	count again	eng-30-00653958-n	an additional (usually a second) count; especially of the votes in a close election	MS
34	YES		TRUE	ZeroV	motley	motley	result	eng-30-00436879-v	make something more diverse and varied	eng-30-08398773-n	a collection containing a variety of sorts of things	MS
35	YES		TRUE	ZeroV	fissure	fissure	result	eng-30-00336922-v	break into fissures or fine cracks	eng-30-13907272-n	a long narrow depression in a surface	MS
36	YES		TRUE	Zero	spell	spell	state	eng-30-01064560-v	place under a spell	eng-30-14407536-n	a psychological state induced by (or as if induced by) a magical incantation	MS
37	YES		TRUE	ZeroN	tumble	tumble	event	eng-30-02097047-v	cause to topple or tumble by pushing	eng-30-00076884-n	a sudden drop from an upright position	MS
38	YES	ate	FALSE		glaciate	glacier	result	eng-30-01208708-v	cover with ice or snow or a glacier	eng-30-09289331-n	a slowly moving mass of ice	MS
39	YES	ation	FALSE		interpret	interpretation	uses	eng-30-00938247-v	give an interpretation or explanation to	eng-30-05928513-n	a mental representation of the meaning or significance of something	MS
40	YES	ion	FALSE		deteriorate	deterioration	event	eng-30-00092293-v	grow worse	eng-30-14561618-n	a symptom of reduced quality or strength	MS
41	YES	ion	FALSE		emasculate	emasculation	event	eng-30-00541953-v	deprive of strength or vigor	eng-30-04668713-n	loss of power and masculinity	MS
42	YES		TRUE		infix	infix	undergoer	eng-30-01298545-v	attach a morpheme into a stem word	eng-30-06309272-n	an affix that is inserted inside the word	MS
43	YES	er	FALSE		truck	trucker	agent	eng-30-01954341-v	convey (goods etc.) by truck	eng-30-10695192-n	someone who drives a truck as an occupation	MS
44	YES		TRUE	ZeroN	sail	sail	event	eng-30-01846320-v	travel on water propelled by wind or by other means	eng-30-00312932-n	an ocean trip taken for pleasure	MS
45	YES		TRUE	ZeroV	scalp	scalp	undergoer	eng-30-00198477-v	remove the scalp of	eng-30-05539947-n	the skin that covers the top of the head	MS
46	YES		TRUE		speed	speed	property	eng-30-00439343-v	cause to move faster	eng-30-05058140-n	a rate (usually rapid) at which something happens	MS
47	YES	er	FALSE		vanish	vanisher	undergoer	eng-30-00426958-v	get lost, as without warning or explanation	eng-30-10746346-n	a person who disappears	MS
48	YES	er	FALSE		position	positioner	instrument	eng-30-01987160-v	cause to be in an appropriate place, state, or relation	eng-30-04110439-n	(computer science) the actuator that moves a read/write head to the proper data track	MS
49	YES	er	FALSE		slander	slanderer	agent	eng-30-00846509-v	charge falsely or with malicious intent; attack the good name and reputation of someone	eng-30-09999135-n	one who attacks the reputation of another by slander or libel	MS
50	YES	er	FALSE		block	blocker	by-means-of	eng-30-02198423-v	interrupt the normal function of by means of anesthesia	eng-30-02854156-n	a class of drugs that inhibit (block) some biological process	MS
51	YES	al	FALSE		disperse	dispersal	event	eng-30-00968211-v	cause to become widely known	eng-30-00368592-n	the act of dispersing or diffusing something	MS
52	YES	ation	FALSE		hypostatise	hypostatisation	event	eng-30-00692718-v	construe as a real existence, of a conceptual entity	eng-30-00932804-n	regarding something abstract as a material thing	MS
53	YES		TRUE	ZeroN	dismount	dismount	event	eng-30-01958452-v	alight from (a horse)	eng-30-01252800-n	the act of dismounting (a horse or bike etc.)	MS
54	YES		TRUE	ZeroV	whore	whore	agent	eng-30-02580577-v	work as a prostitute	eng-30-10485440-n	a woman who engages in sexual intercourse for money	MS
55	YES		TRUE	Zero	retort	retort	event	eng-30-00816353-v	answer back	eng-30-07199922-n	a quick reply to a question or remark (especially a witty or critical one)	MS
56	YES	ation	FALSE		approve	approbation	event	eng-30-00673983-v	judge to be right or commendable; think well of	eng-30-06687178-n	official recognition or approval	MS
57	YES		TRUE		interest	interest	event	eng-30-01821423-v	excite the curiosity of; engage the interest of	eng-30-05682950-n	a sense of concern with and curiosity about someone or something	MS
58	YES		TRUE	ZeroN	bait	bait	by-means-of	eng-30-02577877-v	lure, entice, or entrap with bait	eng-30-02776205-n	something used to lure fish or other animals into danger so they can be trapped or killed	MS
59	YES	ion	FALSE		conglutinate	conglutination	event	eng-30-01600191-v	cause to adhere	eng-30-00382109-n	the union of diverse things into one body or form or group; the growing together of parts	MS
61	YES	sion	FALSE		dissent	dissension	event	eng-30-00804802-v	be of different opinions	eng-30-07181546-n	disagreement among those expected to cooperate	MS
62	YES	ance	FALSE		clear	clearance	event	eng-30-02081178-v	pass by, over, or under without making contact	eng-30-05090111-n	the distance by which one thing clears another; the space between them	MS
63	YES		TRUE	ZeroV	sex	sex	event	eng-30-01762283-v	stimulate sexually	eng-30-00844254-n	activities associated with sexual intercourse	MS
64	YES	or	FALSE		ruminate	ruminator	agent	eng-30-00630380-v	reflect deeply on a subject	eng-30-10339504-n	a reflective thinker characterized by quiet contemplation	MS
65	YES	er	FALSE		sham	shammer	agent	eng-30-01721754-v	make a pretence of	eng-30-10201535-n	a person who makes deceitful pretenses	MS
66	YES		TRUE	Zero	stunt	stunt	undergoer	eng-30-02452413-v	check the growth or development of	eng-30-01319187-n	a creature (especially a whale) that has been prevented from attaining full growth	MS
67	YES	ion	FALSE		ignite	ignition	event	eng-30-02759614-v	cause to start burning; subject to fire or great heat	eng-30-00378479-n	the act of setting something on fire	MS
68	YES		TRUE	ZeroN	hold	hold	state	eng-30-01301410-v	to close within bounds, limit or hold back from movement	eng-30-13999663-n	a state of being confined (usually for a short time)	MS
69	YES		TRUE		sprinkle	sprinkle	event	eng-30-00228655-v	scatter with liquid; wet lightly	eng-30-00278555-n	the act of sprinkling or splashing water	MS
70	YES		TRUE	ZeroV	sculpture	sculpture	result	eng-30-01551871-v	shape (a material like stone or wood) by whittling away at it	eng-30-04157320-n	a three-dimensional work of plastic art	MS
71	YES		TRUE		dispatch	dispatch	event	eng-30-01325128-v	kill without delay	eng-30-00222248-n	killing a person or animal	MS
72	YES		TRUE	ZeroN	sound	sound	event	eng-30-02180529-v	announce by means of a sound	eng-30-06278136-n	the audible part of a transmitted signal	MS
73	YES	ation	FALSE		delimit	delimitation	by-means-of	eng-30-00730301-v	set, mark, or draw the boundaries of something	eng-30-08512736-n	a line that indicates a boundary	MS
74	YES		TRUE	ZeroV	face	face	undergoer	eng-30-02137907-v	turn so as to expose the face	eng-30-08510666-n	a surface forming part of the outside of an object	MS
75	YES	sion	FALSE		corrode	corrosion	state	eng-30-00273963-v	become destroyed by water, air, or a corrosive such as an acid	eng-30-14561995-n	a state of deterioration in metals caused by oxidation or chemical action	MS
76	YES		TRUE	ZeroN	sashay	sashay	event	eng-30-01895027-v	perform a chasse step, in ballet	eng-30-00534152-n	(ballet) quick gliding steps with one foot always leading	MS
77	YES		TRUE	ZeroN	snap	snap	event	eng-30-01242208-v	cause to make a snapping sound	eng-30-00344699-n	the act of snapping the fingers; movement of a finger from the tip to the base of the thumb on the same hand	MS
78	YES		TRUE	ZeroV	syringe	syringe	instrument	eng-30-01373422-v	spray or irrigate (a body part) with a syringe	eng-30-04376876-n	a medical instrument used to inject or withdraw fluids	MS
79	YES	ion	FALSE		deviate	deviation	event	eng-30-02661252-v	be at variance with; be out of line with	eng-30-06022291-n	the difference between an observed value and the expected value of a variable or function	MS
80	YES	ion	FALSE		infuse	infusion	event	eng-30-00086598-v	introduce into the body through a vein, for therapeutic purposes	eng-30-00323532-n	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)	MS
81	YES		TRUE		whelk	whelk	undergoer	eng-30-01143147-v	gather whelk	eng-30-01947396-n	large carnivorous marine gastropods of coastal waters and intertidal regions having a strong snail-like shell	MS
82	YES		TRUE	ZeroV	pause	pause	event	eng-30-00779061-v	cease an action temporarily	eng-30-15271008-n	a time interval during which there is a temporary cessation of something	MS
84	YES		TRUE	ZeroV	wreck	wreck	event	eng-30-01566185-v	smash or break forcefully	eng-30-07353075-n	an accident that destroys a ship at sea	MS
85	YES	ion	FALSE		constitute	constitution	event	eng-30-02621395-v	"to compose or represent:""This wall forms the background of the stage setting"""	eng-30-04933544-n	the way in which someone or something is composed	MS
86	YES	er	FALSE		submit	submitter	agent	eng-30-00878348-v	yield to another's wish or opinion	eng-30-10669727-n	someone who yields to the will of another person or force	MS
87	YES		TRUE	ZeroN	support	support	by-means-of	eng-30-02219094-v	support materially or financially	eng-30-13365286-n	the financial means whereby one lives	MS
88	YES		TRUE	ZeroV	sequence	sequence	event	eng-30-00660571-v	arrange in a sequence	eng-30-01010458-n	the action of following in order	MS
89	YES	ence	FALSE		preexist	preexistence	event	eng-30-02604100-v	exist beforehand or prior to a certain point in time	eng-30-13957117-n	existing in a former state or previous to something else	MS
90	YES		TRUE		reek	reek	event	eng-30-02124106-v	smell badly and offensively	eng-30-05714894-n	a distinctive odor that is offensively unpleasant	MS
91	YES	ion	FALSE		dissociate	dissociation	state	eng-30-00714273-v	regard as unconnected	eng-30-14416845-n	a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently	MS
92	YES	ion	FALSE		superannuate	superannuation	property	eng-30-00537050-v	become obsolete	eng-30-04925577-n	the property of being out of date and not current	MS
93	YES		TRUE		abuse	abuse	event	eng-30-02516594-v	treat badly	eng-30-00419908-n	cruel or inhumane treatment	MS
94	YES		TRUE	ZeroV	wind	wind	event	eng-30-01522052-v	coil the spring of (some mechanical device) by turning a stem	eng-30-00345641-n	the act of winding or twisting	MS
95	YES		TRUE	ZeroV	order	order	result	eng-30-00276883-v	place in a certain order	eng-30-08456993-n	logical or comprehensible arrangement of separate elements	MS
96	YES	er	FALSE		plug	plugger	agent	eng-30-00976487-v	make a plug for; praise the qualities or in order to sell or promote	eng-30-10482220-n	someone who is an active supporter and advocate	MS
97	YES	tion	FALSE		absolve	absolution	event	eng-30-00903711-v	grant remission of a sin to	eng-30-00094240-n	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance	MS
98	YES		TRUE	ZeroV	face	face	undergoer	eng-30-01271189-v	cover the front or surface of	eng-30-03313456-n	a vertical surface of a building or cliff	MS
99	YES		TRUE	Zero	tally	tally	event	eng-30-00949841-v	keep score, as in games	eng-30-00189565-n	a score in baseball made by a runner touching all four bases safely	MS
100	YES	ion	FALSE		erect	erection	result	eng-30-01661243-v	construct, build, or erect	eng-30-03295140-n	a structure that has been erected	MS
101	YES		TRUE	ZeroN	plop	plop	event	eng-30-01977421-v	drop something with a plopping sound	eng-30-07390049-n	the noise of a rounded object dropping into a liquid without a splash	MS
102	YES		TRUE	ZeroV	top	top	event	eng-30-02687385-v	be ahead of others; be the first	eng-30-13940456-n	the highest level or degree attainable; the highest stage of development	MS
103	YES	ation	FALSE		confirm	confirmation	by-means-of	eng-30-01012073-v	strengthen or make more firm	eng-30-06650070-n	information that confirms or verifies	MS
104	YES	ion	FALSE		communicate	communication	event	eng-30-01355518-v	join or connect	eng-30-13792842-n	a connection allowing access between persons or places	MS
105	YES		TRUE		comfort	comfort	state	eng-30-00082308-v	lessen pain or discomfort; alleviate	eng-30-14445379-n	a state of being relaxed and feeling no pain	MS
106	YES	er	FALSE		grumble	grumbler	agent	eng-30-00909219-v	make complaining remarks or noises under one's breath	eng-30-10776339-n	a person given to excessive complaints and crying and whining	MS
107	YES	ion	FALSE		correlate	correlation	event	eng-30-00713996-v	bring into a mutual, complementary, or reciprocal relation	eng-30-06031248-n	a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the other	MS
108	YES	ance	FALSE		discord	discordance	event	eng-30-02718543-v	be different from one another	eng-30-01170175-n	strife resulting from a lack of agreement	MS
109	YES	ion	FALSE		lactate	lactation	event	eng-30-01186428-v	give suck to	eng-30-15142836-n	the period following birth during which milk is secreted	MS
110	YES	er	FALSE		walk	walker	instrument	eng-30-01912893-v	traverse or cover by walking	eng-30-04545748-n	a shoe designed for comfortable walking	MS
112	YES		TRUE		whang	whang	event	eng-30-01412548-v	beat with force	eng-30-00133338-n	the act of hitting vigorously	MS
113	YES		TRUE	Zero	roost	roost	location	eng-30-01543731-v	sit, as on a branch	eng-30-04107984-n	a shelter with perches for fowl or other birds	MS
114	YES		TRUE		boost	boost	event	eng-30-00310937-v	give a boost to; be beneficial to	eng-30-01211019-n	the act of giving hope or support to someone	MS
115	YES		TRUE		purchase	purchase	undergoer	eng-30-02207206-v	obtain by purchase; acquire by means of a financial transaction	eng-30-13253612-n	something acquired by purchase	MS
116	YES		TRUE	ZeroV	keynote	keynote	undergoer	eng-30-00768265-v	give the keynote address to (an audience)	eng-30-07240278-n	the principal theme in a speech or literary work	MS
117	YES		TRUE	ZeroN	jab	jab	event	eng-30-01230555-v	strike or punch with quick and short blows	eng-30-00334935-n	a sharp hand gesture (resembling a blow)	MS
118	YES		TRUE	ZeroN	walk	walk	location	eng-30-01882170-v	take a walk; go for a walk; walk for pleasure	eng-30-04544979-n	a path set aside for walking	MS
119	YES	er	FALSE		peep	peeper	agent	eng-30-01052301-v	make high-pitched sounds	eng-30-01315213-n	an animal that makes short high-pitched sounds	MS
120	YES	ion	FALSE		mistranslate	mistranslation	event	eng-30-00960453-v	translate incorrectly	eng-30-06347122-n	an incorrect translation	MS
121	YES		TRUE	ZeroV	star	star	agent	eng-30-01720980-v	be the star in a performance	eng-30-10648696-n	an actor who plays a principal role	MS
122	YES		TRUE		overcast	overcast	by-means-of	eng-30-01330269-v	sew over the edge of with long slanting wide stitches	eng-30-03863442-n	a long whipstitch or overhand stitch overlying an edge to prevent raveling	MS
123	YES		TRUE	ZeroV	gift	gift	event	eng-30-02200686-v	give as a present; make a gift of	eng-30-01086081-n	the act of giving	MS
124	YES		TRUE		jaundice	jaundice	property	eng-30-00477107-v	distort adversely	eng-30-04643397-n	a rough and bitter manner	MS
125	YES		TRUE		fall	fall	event	eng-30-01970826-v	move downward and lower, but not necessarily all the way	eng-30-07370270-n	a movement downward	MS
126	YES	ion	FALSE		personate	personation	event	eng-30-00837288-v	pretend to be someone you are not; sometimes with fraudulent intentions	eng-30-00549284-n	imitating the mannerisms of another person	MS
127	YES	ion	FALSE		masturbate	masturbation	event	eng-30-01430633-v	get sexual gratification through self-stimulation	eng-30-00855674-n	manual stimulation of the genital organs (of yourself or another) for sexual pleasure	MS
128	YES	er	FALSE		drift	drifter	agent	eng-30-01881180-v	move about aimlessly or without any destination, often in search of food or employment	eng-30-10744544-n	a wanderer who has no established residence or visible means of support	MS
129	YES	ation	FALSE		americanise	americanisation	event	eng-30-00410406-v	make American in character	eng-30-13429888-n	assimilation into American culture	MS
130	YES		TRUE		counterweight	counterweight	by-means-of	eng-30-02666691-v	constitute a counterweight or counterbalance to	eng-30-03118539-n	a weight that balances another weight	MS
131	YES	ment	FALSE		develop	development	event	eng-30-00339464-v	happen	eng-30-07423560-n	a recent event that has some relevance for the present situation	MS
132	YES	ation	FALSE		impute	imputation	event	eng-30-00726300-v	attribute or credit to	eng-30-05735478-n	the attribution to a source or cause	MS
133	YES	er	FALSE		transfer	transferer	agent	eng-30-01435380-v	send from one person or place to another	eng-30-10724699-n	someone who transfers something	MS
134	YES		TRUE		screech	screech	event	eng-30-02171664-v	make a high-pitched, screeching noise	eng-30-07393161-n	a high-pitched noise resembling a human cry	MS
135	YES	ion	FALSE		demarcate	demarcation	location	eng-30-00730499-v	separate clearly, as if by boundaries	eng-30-08592656-n	the boundary of a specific area	MS
136	YES		TRUE		collapse	collapse	event	eng-30-00030647-v	collapse due to fatigue, an illness, or a sudden attack	eng-30-14066203-n	an abrupt failure of function or complete physical exhaustion	MS
137	YES	ment	FALSE		replace	replacement	event	eng-30-02405390-v	take the place or move into the position of	eng-30-00197772-n	the act of furnishing an equivalent person or thing in the place of another	MS
138	YES		TRUE		purpose	purpose	property	eng-30-00708980-v	propose or intend	eng-30-04864200-n	the quality of being determined to do or achieve something; firmness of purpose	MS
139	YES	ion	FALSE		redact	redaction	event	eng-30-00200397-v	prepare for publication or presentation by correcting, revising, or adapting	eng-30-06427831-n	putting something (as a literary work or a legislative bill) into acceptable form	MS
140	YES		TRUE	ZeroV	notch	notch	result	eng-30-01004550-v	notch a surface to record something	eng-30-00387897-n	a small cut	MS
141	YES		TRUE	ZeroV	clutch	clutch	event	eng-30-00737656-v	affect	eng-30-14032737-n	a tense critical situation	MS
142	YES		TRUE	Zero	rush	rush	event	eng-30-02059462-v	cause to move fast or to rush or race	eng-30-00555648-n	the act of moving hurriedly and in a careless manner	MS
143	YES	ation	FALSE		indent	indentation	event	eng-30-01277173-v	notch the edge of or make jagged	eng-30-00406939-n	the act of cutting into an edge with toothlike notches or angular incisions	MS
144	YES		TRUE		aggregate	aggregate	result	eng-30-02627555-v	amount in the aggregate to	eng-30-04353803-n	the whole amount	MS
146	YES		TRUE	ZeroV	seat	seat	result	eng-30-02334302-v	put a seat on a chair	eng-30-04161981-n	furniture that is designed for sitting on	MS
147	YES		TRUE	ZeroV	spray	spray	by-means-of	eng-30-01372682-v	scatter in a mass or jet of droplets	eng-30-02754103-n	a dispenser that turns a liquid (such as perfume) into a fine mist	MS
148	YES		TRUE		hibachi	hibachi	by-means-of	eng-30-00327010-v	cook over a hibachi grill	eng-30-03517509-n	a portable brazier that burns charcoal and has a grill for cooking	MS
149	YES		TRUE	ZeroV	scallop	scallop	result	eng-30-00145299-v	shape or cut in scallops	eng-30-13874558-n	one of a series of rounded projections (or the notches between them) formed by curves along an edge (as the edge of a leaf or piece of cloth or the margin of a shell or a shriveled red blood cell observed in a hypertonic solution etc.)	MS
150	YES	ion	FALSE		strangulate	strangulation	event	eng-30-01388653-v	constrict a hollow organ or vessel so as to stop the flow of blood or air	eng-30-00227264-n	(pathology) constriction of a body part so as to cut off the flow of blood or other fluid	MS
151	YES	ize	FALSE		motorize	motor	instrument	eng-30-02226013-v	equip with a motor	eng-30-03789946-n	machine that converts other forms of energy into mechanical energy and so imparts motion	MS
152	YES	ment	FALSE		disfigure	disfigurement	result	eng-30-01549905-v	mar or spoil the appearance of	eng-30-04691178-n	an appearance that has been spoiled or is misshapen	MS
153	YES	ion	FALSE		complicate	complication	event	eng-30-00402539-v	make more complicated	eng-30-13933221-n	a situation or condition that is complex or confused	MS
154	YES	ion	FALSE		saltate	saltation	event	eng-30-01965654-v	move by saltation	eng-30-13552644-n	(geology) the leaping movement of sand or soil particles as they are transported in a fluid medium over an uneven surface	MS
155	YES	ation	FALSE		fortify	fortification	by-means-of	eng-30-01087197-v	prepare oneself for a military confrontation	eng-30-05635624-n	the art or science of strengthening defenses	MS
156	YES		TRUE	ZeroV	stopple	stopple	by-means-of	eng-30-01220636-v	close or secure with or as if with a stopper	eng-30-03967942-n	blockage consisting of an object designed to fill a hole tightly	MS
157	YES	ment	FALSE		abandon	abandonment	event	eng-30-02227741-v	give up with the intent of never claiming again	eng-30-00204439-n	the act of giving something up	MS
158	YES		TRUE	ZeroV	mime	mime	agent	eng-30-01743531-v	imitate (a person or manner), especially for satirical effect	eng-30-10318892-n	an actor who communicates entirely by gesture and facial expression	MS
159	YES	ation	FALSE		reclaim	reclamation	event	eng-30-00384620-v	bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one	eng-30-00095971-n	rescuing from error and returning to a rightful course	MS
160	YES	ion	FALSE		salivate	salivation	event	eng-30-00102791-v	produce saliva	eng-30-13552528-n	the secretion of saliva	MS
161	YES	er	FALSE		hustle	hustler	agent	eng-30-02322596-v	sell something to or obtain something from by energetic and especially underhanded activity	eng-30-10194566-n	a shrewd or unscrupulous person who knows how to circumvent difficulties	MS
162	YES		TRUE	Zero	tow	tow	event	eng-30-01454431-v	drag behind	eng-30-00115292-n	the act of hauling something (as a vehicle) by means of a hitch or rope	MS
163	YES	er	FALSE		try	trier	agent	eng-30-02531625-v	put to the test, as for its quality, or give experimental use to	eng-30-10728998-n	one who tries	MS
164	YES	ation	FALSE		modify	modification	event	eng-30-00169806-v	make less severe or harsh or extreme	eng-30-00199707-n	the act of making something different (as e.g. the size of a garment)	MS
165	YES	ation	FALSE		mystify	mystification	result	eng-30-00518653-v	make mysterious	eng-30-05685030-n	confusion resulting from failure to understand	MS
166	YES	ion	FALSE		create	creation	event	eng-30-01640207-v	create by artistic means	eng-30-07328942-n	the event that occurred at the beginning of something	MS
167	YES	ion	FALSE		eliminate	elimination	event	eng-30-00575561-v	remove (an unknown variable) from two or more equations	eng-30-00395503-n	the act of removing an unknown mathematical quantity by combining equations	MS
168	YES	ation	FALSE		immobilise	immobilisation	event	eng-30-00269140-v	cause to be unable to move	eng-30-01146288-n	the act of limiting movement or making incapable of movement	MS
169	YES	sion	FALSE		misapprehend	misapprehension	event	eng-30-00619869-v	interpret in the wrong way	eng-30-05895723-n	an understanding of something that is not correct	MS
170	YES		TRUE		ground	ground	location	eng-30-01406356-v	hit onto the ground	eng-30-09334396-n	the solid part of the earth's surface	MS
171	YES		TRUE	Zero	fit	fit	property	eng-30-02659763-v	be the right size or shape; fit correctly or as desired	eng-30-04930307-n	the manner in which something fits	MS
173	YES		TRUE	ZeroN	ride	ride	event	eng-30-02102398-v	sit on and control a vehicle	eng-30-00307631-n	a journey in a vehicle (usually an automobile)	MS
174	YES	ation	FALSE		exhort	exhortation	event	eng-30-00765649-v	force or impel in an indicated direction	eng-30-07246036-n	the act of exhorting; an earnest attempt at persuasion	MS
175	YES		TRUE	ZeroN	limp	limp	event	eng-30-01996402-v	proceed slowly or with difficulty	eng-30-00286756-n	the uneven manner of walking that results from an injured leg	MS
176	YES		TRUE		release	release	event	eng-30-02421374-v	grant freedom to; free from confinement	eng-30-00095502-n	the act of liberating someone or something	MS
177	YES		TRUE		study	study	event	eng-30-00607114-v	learn by reading books	eng-30-05755883-n	applying the mind to learning and understanding a subject (especially by reading)	MS
178	YES	ion	FALSE		modulate	modulation	result	eng-30-00171458-v	adjust the pitch, tone, or volume of	eng-30-07083958-n	a manner of speaking in which the loudness or pitch or tone of the voice is modified	MS
179	YES	ment	FALSE		disenfranchise	disenfranchisement	event	eng-30-02476846-v	deprive of voting rights	eng-30-01140029-n	the act of withdrawing certification or terminating a franchise	MS
180	YES		TRUE	ZeroV	fax	fax	instrument	eng-30-01007676-v	send something via a facsimile machine	eng-30-03316105-n	duplicator that transmits the copy by wire or radio	MS
181	YES		TRUE	ZeroN	think	think	event	eng-30-01637166-v	imagine or visualize	eng-30-05786372-n	an instance of deliberate thinking	MS
