Confirmed derivation	NEW SUFFIX	Zero	V synset	V literal	N synset	N literal	Existing MS relation	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
Y	ance	FALSE	eng-30-00797697-v	accept	eng-30-00180413-n	acceptance	event	NEW_LIT_PAIR_KNOWN_REL
YES	ance	FALSE	eng-30-00668805-v	accept	eng-30-04638175-n	acceptance	property	MS
YES	ance	FALSE	eng-30-00719231-v	accept	eng-30-13932421-n	acceptance	result	MS
YES	ance	FALSE	eng-30-00686447-v	accept	eng-30-06193727-n	acceptance	result	MS
Y	ist	FALSE	eng-30-01728355-v	accompany	eng-30-09760913-n	accompanist		NEW_PAIR_REL
Y	ist	FALSE	eng-30-01728355-v	accompany	eng-30-09760913-n	accompanyist		NEW_PAIR_REL
Y		TRUE	eng-30-00965035-v	account	eng-30-06681551-n	account	event	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00965035-v	account	eng-30-07217924-n	account	event	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-02265231-v	account	eng-30-06516955-n	account	result	MS
YES		TRUE	eng-30-00867644-v	account	eng-30-06738281-n	account	result	MS
YES		TRUE	eng-30-00965035-v	account	eng-30-06738281-n	account	result	MS
Y		TRUE	eng-30-02265231-v	account	eng-30-13354985-n	account		NEW_PAIR_REL
Y	ancy	FALSE	eng-30-02265231-v	account	eng-30-00618734-n	accountancy		NEW_PAIR_REL
Y	ant	FALSE	eng-30-02265231-v	account	eng-30-09761403-n	accountant	AGENT	NEW_PAIR_REL
Y	ing	FALSE	eng-30-02265231-v	account	eng-30-05662532-n	accounting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02265231-v	account	eng-30-13405962-n	accounting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02265231-v	account	eng-30-00618734-n	accounting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02265231-v	account	eng-30-13354985-n	accounting		NEW_PAIR_REL
Y	ion	FALSE	eng-30-00159880-v	acculturate	eng-30-05984936-n	acculturation		NEW_PAIR_REL
Y	ify	FALSE	eng-30-02196690-v	acetify	eng-30-07828987-n	acetum		NEW_PAIR_REL
Y	ify	FALSE	eng-30-00264875-v	acetify	eng-30-14599641-n	acetum		NEW_PAIR_REL
Y	ify	FALSE	eng-30-02196690-v	acetify	eng-30-14599641-n	acetum		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00524083-v	acetylate	eng-30-14594456-n	acetyl		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00524299-v	acetylate	eng-30-14594456-n	acetyl		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00524083-v	acetylise	eng-30-14594456-n	acetyl		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00524299-v	acetylise	eng-30-14594456-n	acetyl		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02121511-v	ache	eng-30-14323683-n	aching	event	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-02122164-v	ache	eng-30-14323683-n	aching	result	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-01059123-v	acknowledge	eng-30-06628861-n	acknowledgement	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00892467-v	acknowledge	eng-30-06628861-n	acknowledgement	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00592883-v	acknowledge	eng-30-06628861-n	acknowledgement	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00592883-v	acknowledge	eng-30-14411981-n	acknowledgement	state	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00817311-v	acknowledge	eng-30-14411981-n	acknowledgement	state	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-02210855-v	acquire	eng-30-00041899-n	acquiring		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00094460-v	acquire	eng-30-00041899-n	acquiring		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01719921-v	act	eng-30-00548326-n	acting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-01719302-v	act	eng-30-00548326-n	acting		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02744977-v	act	eng-30-00548326-n	acting		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01649999-v	actuate	eng-30-00030358-n	act		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01643657-v	actuate	eng-30-00030358-n	act		NEW_PAIR_REL
Y	ence	FALSE	eng-30-01220885-v	adhere	eng-30-04935528-n	adherence	property	NEW_LIT_PAIR_KNOWN_REL
Y	ence	FALSE	eng-30-01356750-v	adhere	eng-30-04935528-n	adherence	property	NEW_LIT_PAIR_KNOWN_REL
Y	ence	FALSE	eng-30-02638845-v	adhere	eng-30-01212882-n	adherence	result	NEW_LIT_PAIR_KNOWN_REL
Y	ent	FALSE	eng-30-02638845-v	adhere	eng-30-10016103-n	adherent		NEW_PAIR_REL
Y	er	FALSE	eng-30-00296178-v	adjust	eng-30-09769929-n	adjuster		NEW_PAIR_REL
Y	or 	FALSE	eng-30-00296178-v	adjust	eng-30-09769929-n	adjustor		NEW_PAIR_REL
YES	ation	FALSE	eng-30-02431971-v	administer	eng-30-08164585-n	administration	agent	MS
YES	ation	FALSE	eng-30-02431971-v	administer	eng-30-01135952-n	administration	by-means-of	MS
YES	ation	FALSE	eng-30-00081072-v	administer	eng-30-00694990-n	administration	event	MS
Y	ation	FALSE	eng-30-02431971-v	administer	eng-30-15266265-n	administration		NEW_PAIR_REL
Y	ion	FALSE	eng-30-02431971-v	administrate	eng-30-08164585-n	administration	agent	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-02431971-v	administrate	eng-30-01135952-n	administration	by-means-of	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-02431971-v	administrate	eng-30-15266265-n	administration	RESULT?	NEW_PAIR_REL
YES	ion	FALSE	eng-30-02671279-v	admit	eng-30-13321495-n	admission	by-means-of	MS
YES	ion	FALSE	eng-30-02502536-v	admit	eng-30-13321495-n	admission	by-means-of	MS
YES	ion	FALSE	eng-30-02502536-v	admit	eng-30-01248191-n	admission	event	MS
YES	ion	FALSE	eng-30-00817311-v	admit	eng-30-07215948-n	admission	event	MS
Y	ion	FALSE	eng-30-02449847-v	admit	eng-30-05176188-n	admission	uses	NEW_LIT_PAIR_KNOWN_REL
Y	ance	FALSE	eng-30-02502536-v	admit	eng-30-01248191-n	admittance	event	NEW_LIT_PAIR_KNOWN_REL
YES	ance	FALSE	eng-30-02449847-v	admit	eng-30-05176188-n	admittance	uses	MS
Y	ture	FALSE	eng-30-00396703-v	admix	eng-30-00380083-n	admixture		NEW_PAIR_REL
Y	ture	FALSE	eng-30-00396703-v	admix	eng-30-02681084-n	admixture		NEW_PAIR_REL
Y	ent	FALSE	eng-30-00252710-v	adolesce	eng-30-09772029-n	adolescent		NEW_PAIR_REL
Y	er	FALSE	eng-30-01777817-v	adore	eng-30-09771435-n	adorer		NEW_PAIR_REL
Y	ent	FALSE	eng-30-01540232-v	adsorb	eng-30-14598525-n	adsorbent		NEW_PAIR_REL
YES		TRUE	eng-30-00158222-v	advance	eng-30-00364260-n	advance	event	MS
YES		TRUE	eng-30-02554922-v	advance	eng-30-07357388-n	advance	event	MS
YES		TRUE	eng-30-01992503-v	advance	eng-30-00282050-n	advance	event	MS
YES		TRUE	eng-30-00248659-v	advance	eng-30-00282050-n	advance	event	MS
YES		TRUE	eng-30-00248659-v	advance	eng-30-07357388-n	advance	event	MS
YES		TRUE	eng-30-01992503-v	advance	eng-30-07445265-n	advance	event	MS
Y		TRUE	eng-30-01993926-v	advance	eng-30-00282050-n	advance	event	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00558371-v	advance	eng-30-00282050-n	advance	event	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-02283949-v	advance	eng-30-13375891-n	advance	undergoer	MS
Y	er	FALSE	eng-30-02544348-v	adventure	eng-30-10072708-n	adventurer		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00975902-v	advertise	eng-30-01101329-n	advertising		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00976653-v	advertise	eng-30-01101329-n	advertising		NEW_PAIR_REL
Y	ory	FALSE	eng-30-00872886-v	advise	eng-30-06747008-n	advisory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01377940-v	aerosolise	eng-30-11422597-n	aerosol		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01377758-v	aerosolise	eng-30-11422597-n	aerosol		NEW_PAIR_REL
Y		TRUE	eng-30-01779165-v	affright	eng-30-07520612-n	affright		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00517365-v	Agenise	eng-30-15017121-n	Agene		NEW_PAIR_REL
Y		TRUE	eng-30-01484714-v	agglomerate	eng-30-14711647-n	agglomerate		NEW_PAIR_REL
Y		TRUE	eng-30-01484714-v	agglomerate	eng-30-07961480-n	agglomerate		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01794363-v	agonise	eng-30-14324274-n	agony		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01794523-v	agonise	eng-30-14324274-n	agony		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01794523-v	agonise	eng-30-07495551-n	agony		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01794363-v	agonise	eng-30-07495551-n	agony		NEW_PAIR_REL
YES		TRUE	eng-30-02547586-v	aid	eng-30-05154908-n	aid	by-means-of	MS
Y		TRUE	eng-30-00082081-v	aid	eng-30-05154908-n	aid	by-means-of	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-00082081-v	aid	eng-30-00654885-n	aid	event	MS
Y		TRUE	eng-30-02547586-v	aid	eng-30-01207609-n	aid	event	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-00082081-v	aid	eng-30-01207609-n	aid	event	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-00708980-v	aim	eng-30-05982152-n	aim	event	MS
YES		TRUE	eng-30-00708980-v	aim	eng-30-05981230-n	aim	event	MS
YES		TRUE	eng-30-01150559-v	aim	eng-30-00815644-n	aim	event	MS
YES		TRUE	eng-30-01151110-v	aim	eng-30-00815644-n	aim	event	MS
Y		TRUE	eng-30-01150559-v	aim	eng-30-05981230-n	aim	undergoer	NEW_LIT_PAIR_KNOWN_REL
Y		TRUE	eng-30-02112891-v	air	eng-30-14841267-n	air		NEW_PAIR_REL
Y		TRUE	eng-30-00872414-v	alarm	eng-30-06803157-n	alarm	by-means-of	NEW_LIT_PAIR_KNOWN_REL
YES		TRUE	eng-30-01782650-v	alarm	eng-30-07519773-n	alarm	result	MS
YES		TRUE	eng-30-00872414-v	alarm	eng-30-07519773-n	alarm	result	MS
Y	ist	FALSE	eng-30-01782650-v	alarm	eng-30-09781504-n	alarmist		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00139586-v	alchemise	eng-30-05778749-n	alchemy	INSTRUMENT	NEW_PAIR_REL
Y	ise	FALSE	eng-30-00139908-v	alcoholise	eng-30-07884567-n	alcohol		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00139729-v	alcoholise	eng-30-07884567-n	alcohol		NEW_PAIR_REL
Y	ation	FALSE	eng-30-01823528-v	alien	eng-30-14415773-n	alienation	result	NEW_LIT_PAIR_KNOWN_REL
Y	ation	FALSE	eng-30-01823528-v	alien	eng-30-07502387-n	alienation	state	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-01823528-v	alienate	eng-30-14415773-n	alienation	result	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-01823528-v	alienate	eng-30-07502387-n	alienation	state	NEW_LIT_PAIR_KNOWN_REL
YES	ment	FALSE	eng-30-02658867-v	align	eng-30-01000068-n	alignment	event	MS
YES	ment	FALSE	eng-30-00466053-v	align	eng-30-01000068-n	alignment	event	MS
YES	ment	FALSE	eng-30-00464321-v	align	eng-30-05077146-n	alignment	property	MS
Y	ment	FALSE	eng-30-00733632-v	align	eng-30-08293982-n	alignment		NEW_PAIR_REL
Y	ment	FALSE	eng-30-00733632-v	align	eng-30-08293982-n	alinement		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00135285-v	allegorise	eng-30-06366581-n	allegory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00135285-v	allegorise	eng-30-06880664-n	allegory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00624263-v	allegorise	eng-30-06366581-n	allegory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00624263-v	allegorise	eng-30-06372095-n	allegory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00135285-v	allegorise	eng-30-06372095-n	allegory		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00624263-v	allegorise	eng-30-06880664-n	allegory		NEW_PAIR_REL
Y		TRUE	eng-30-00337700-v	alligator	eng-30-14760447-n	alligator		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00279239-v	alphabetise	eng-30-06497459-n	alphabet		NEW_PAIR_REL
Y	ize	FALSE	eng-30-02330967-v	alphabetize	eng-30-06497459-n	alphabet		NEW_PAIR_REL
Y	ing	FALSE	eng-30-00060477-v	alter	eng-30-00692506-n	altering		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01338113-v	aluminise	eng-30-14627820-n	aluminum		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01462005-v	amalgamate	eng-30-07963987-n	amalgam		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00410406-v	Americanise	eng-30-09738708-n	American		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00187147-v	ammoniate	eng-30-14743582-n	ammonia		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00187147-v	ammoniate	eng-30-14743840-n	ammonia		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00653283-v	analogise	eng-30-05780339-n	analogy		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00653283-v	analogise	eng-30-00651176-n	analogy		NEW_PAIR_REL
Y	er	FALSE	eng-30-00736216-v	analyse	eng-30-02708711-n	analyser		NEW_PAIR_REL
Y	ist	FALSE	eng-30-00736216-v	analyse	eng-30-09791530-n	analyst		NEW_PAIR_REL
Y	ist	FALSE	eng-30-00643473-v	analyse	eng-30-09790482-n	analyst		NEW_PAIR_REL
Y	ist	FALSE	eng-30-00643197-v	analyse	eng-30-09790278-n	analyst		NEW_PAIR_REL
Y	ist	FALSE	eng-30-00644583-v	analyze	eng-30-09790482-n	analyst		NEW_PAIR_REL
Y	er	FALSE	eng-30-00736216-v	analyze	eng-30-02708711-n	analyzer		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00864910-v	anathematise	eng-30-07233863-n	anathema		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00864910-v	anathemise	eng-30-07233863-n	anathema		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01550594-v	anatomise	eng-30-00646187-n	anatomy		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01550594-v	anatomise	eng-30-06057539-n	anatomy		NEW_PAIR_REL
Y	age	FALSE	eng-30-01304716-v	anchor	eng-30-08639776-n	anchorage		NEW_PAIR_REL
Y	age	FALSE	eng-30-01304716-v	anchor	eng-30-00052052-n	anchorage		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00021065-v	anesthetise	eng-30-02710766-n	anesthetic		NEW_PAIR_REL
YES		TRUE	eng-30-02038357-v	angle	eng-30-13887509-n	angle	location	MS
YES		TRUE	eng-30-02044866-v	angle	eng-30-13887509-n	angle	location	MS
Y		TRUE	eng-30-00680485-v	angle	eng-30-06211078-n	angle	uses	NEW_LIT_PAIR_KNOWN_REL
Y	er	FALSE	eng-30-01141612-v	angle	eng-30-02548247-n	angler		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00573457-v	angulate	eng-30-13887509-n	angle		NEW_PAIR_REL
Y	ion	FALSE	eng-30-00024279-v	animate	eng-30-01048466-n	animation	event	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-00192836-v	animate	eng-30-01048466-n	animation	event	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-01812720-v	animate	eng-30-01048466-n	animation	event	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-00192836-v	animate	eng-30-04631700-n	animation	property	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-00303056-v	anneal	eng-30-00402951-n	annealing	EVENT	NEW_PAIR_REL
YES	ion	FALSE	eng-30-01704953-v	annotate	eng-30-00371735-n	annotation	event	MS
YES	ion	FALSE	eng-30-01704953-v	annotate	eng-30-06763273-n	annotation	undergoer	MS
Y	ion	FALSE	eng-30-00961329-v	annotate	eng-30-06763273-n	annotation		NEW_PAIR_REL
Y	ance	FALSE	eng-30-01787955-v	annoy	eng-30-05830059-n	annoyance	agent by-means-of	NEW_LIT_PAIR_KNOWN_REL
YES	ance	FALSE	eng-30-01787955-v	annoy	eng-30-00418394-n	annoyance	event	MS
Y	ance	FALSE	eng-30-01787955-v	annoy	eng-30-14406573-n	annoyance	state	NEW_LIT_PAIR_KNOWN_REL
Y	ent	FALSE	eng-30-02712443-v	antecede	eng-30-07326880-n	antecedent		NEW_PAIR_REL
Y	ise	FALSE	eng-30-01626705-v	anthologise	eng-30-06591609-n	anthology		NEW_PAIR_REL
Y	ry	FALSE	eng-30-02675067-v	ape	eng-30-00549472-n	apery		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00894738-v	apologise	eng-30-06740919-n	apologia		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00894738-v	apologise	eng-30-06740919-n	apology		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00892923-v	apologise	eng-30-06633363-n	apology		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00894738-v	apologise	eng-30-06633363-n	apology		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00757856-v	apostatise	eng-30-10007109-n	apostate		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00993754-v	apostrophise	eng-30-06841987-n	apostrophe		NEW_PAIR_REL
Y	is	FALSE	eng-30-00693633-v	apotheose	eng-30-10325243-n	apotheosis		NEW_PAIR_REL
Y	ise	FALSE	eng-30-00693633-v	apotheosise	eng-30-10325243-n	apotheosis		NEW_PAIR_REL
Y	ant	FALSE	eng-30-02497586-v	appeal	eng-30-09800469-n	appellant		NEW_PAIR_REL
Y	age	FALSE	eng-30-01328513-v	append	eng-30-02728763-n	appendage		NEW_PAIR_REL
Y	age	FALSE	eng-30-01328705-v	append	eng-30-02728763-n	appendage		NEW_PAIR_REL
Y	ment	FALSE	eng-30-02396205-v	appoint	eng-30-00163779-n	appointment		NEW_PAIR_REL
Y	ing	FALSE	eng-30-02053941-v	approach	eng-30-00280853-n	approaching	event	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-02053941-v	approach	eng-30-07310507-n	approaching	event	NEW_LIT_PAIR_KNOWN_REL
Y	ing	FALSE	eng-30-01849746-v	approach	eng-30-05046471-n	approaching	property	NEW_LIT_PAIR_KNOWN_REL
Y	ation	FALSE	eng-30-00672433-v	approximate	eng-30-05803379-n	approximation	by-means-of event	NEW_LIT_PAIR_KNOWN_REL
Y	ise	FALSE	eng-30-00329495-v	arborise	eng-30-13107891-n	arbor		NEW_PAIR_REL
YES	ment	FALSE	eng-30-00772640-v	argue	eng-30-06648724-n	argument	by-means-of	MS
YES	ment	FALSE	eng-30-00773432-v	argue	eng-30-07183151-n	argument	event	MS
YES	ment	FALSE	eng-30-00772189-v	argue	eng-30-07140978-n	argument	event	MS
Y	ment	FALSE	eng-30-00773432-v	argue	eng-30-07140978-n	argument	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00772189-v	argue	eng-30-05773049-n	argument	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00772640-v	argue	eng-30-07140978-n	argument	event	NEW_LIT_PAIR_KNOWN_REL
Y	ment	FALSE	eng-30-00772640-v	argue	eng-30-05773049-n	argument	event	NEW_LIT_PAIR_KNOWN_REL
Y	or	FALSE	eng-30-01087197-v	arm	eng-30-08197742-n	armor		NEW_PAIR_REL
Y	ise	FALSE	eng-30-02126382-v	aromatise	eng-30-04980008-n	aroma		NEW_PAIR_REL
Y	al	FALSE	eng-30-02005948-v	arrive	eng-30-09810166-n	arrival	agent	NEW_LIT_PAIR_KNOWN_REL
YES	al	FALSE	eng-30-02005948-v	arrive	eng-30-00048374-n	arrival	event	MS
Y		TRUE	eng-30-00885082-v	article	eng-30-06392935-n	article		NEW_PAIR_REL
Y	ance	FALSE	eng-30-02381571-v	ascend	eng-30-14441825-n	ascendance		NEW_PAIR_REL
Y	ancy	FALSE	eng-30-02381571-v	ascend	eng-30-14441825-n	ascendancy		NEW_PAIR_REL
Y	ence	FALSE	eng-30-02381571-v	ascend	eng-30-14441825-n	ascendence		NEW_PAIR_REL
Y	ency	FALSE	eng-30-02381571-v	ascend	eng-30-14441825-n	ascendency		NEW_PAIR_REL
Y		TRUE	eng-30-02037472-v	ascend	eng-30-09206985-n	ascent		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01569181-v	asphyxiate	eng-30-14042423-n	asphyxia		NEW_PAIR_REL
Y	ate	FALSE	eng-30-00359511-v	asphyxiate	eng-30-14042423-n	asphyxia		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01476180-v	asphyxiate	eng-30-14042423-n	asphyxia		NEW_PAIR_REL
Y	age	FALSE	eng-30-02428924-v	assemble	eng-30-01229938-n	assemblage		NEW_PAIR_REL
Y	age	FALSE	eng-30-02598143-v	assemble	eng-30-01229938-n	assemblage		NEW_PAIR_REL
Y	age	FALSE	eng-30-02428924-v	assemble	eng-30-07975026-n	assemblage		NEW_PAIR_REL
Y	age	FALSE	eng-30-02598143-v	assemble	eng-30-07975026-n	assemblage		NEW_PAIR_REL
Y	age	FALSE	eng-30-01656788-v	assemble	eng-30-03533486-n	assemblage		NEW_PAIR_REL
Y	age	FALSE	eng-30-01656788-v	assemble	eng-30-07951464-n	assemblage		NEW_PAIR_REL
Y	y	FALSE	eng-30-02428924-v	assemble	eng-30-01229938-n	assembly		NEW_PAIR_REL
Y	y	FALSE	eng-30-02598143-v	assemble	eng-30-01229938-n	assembly		NEW_PAIR_REL
Y	er	FALSE	eng-30-00804139-v	assent	eng-30-09814567-n	assenter		NEW_PAIR_REL
Y	ee	FALSE	eng-30-02308552-v	assess	eng-30-09815076-n	assessee		NEW_PAIR_REL
YES	ion	FALSE	eng-30-00602255-v	assimilate	eng-30-05757049-n	assimilation	event	MS
YES	ion	FALSE	eng-30-00602255-v	assimilate	eng-30-05755714-n	assimilation	event	MS
YES	ion	FALSE	eng-30-00159642-v	assimilate	eng-30-13434878-n	assimilation	event	MS
YES	ion	FALSE	eng-30-00160261-v	assimilate	eng-30-13434878-n	assimilation	event	MS
YES	ion	FALSE	eng-30-00160447-v	assimilate	eng-30-13434537-n	assimilation	event	MS
